Sample_ID	CRT	IRT	RBT	WCT	YCT
Bear_24_071	6.55373E-05	0.999364349	0.999429886	0.000570114	0
Bear_24_072	1.61031E-07	0.996136359	0.99613652	0.00386348	0
Bear_24_073	0.000161042	0.992968218	0.99312926	0.00687074	0
Bear_24_074	0.000431364	0.993822275	0.994253639	0.005746361	0
Bear_24_075	0.000236866	0.996236393	0.996473259	0.003526741	0
Bear_24_076	0	0.995150776	0.995150776	0.004849224	0
Bear_24_077	4.86112E-07	0.996666455	0.996666941	0.003333059	0
Bear_24_078	0.000103464	0.998933219	0.999036683	0.000963003	0.000000315
Bear_24_079	0.000179655	0.99839051	0.998570166	0.001429834	0
Bear_24_080	0	0.998006586	0.998006586	0.001993414	0
Bear_24_081	0.001000939	0.99675134	0.997752279	0.002247721	0
Bear_24_082	0.000400951	0.997198184	0.997599136	0.002400864	0
Bear_24_083	1.27178E-05	0.996456186	0.996468903	0.003531097	0
Bear_24_084	0.000879786	0.995876777	0.996756562	0.003243438	0
Bear_24_086	0.000357752	0.994599312	0.994957064	0.005030319	0.0000126
Bear_24_087	0	0.994541988	0.994541988	0.005458012	0
Bear_24_088	0.000425396	0.994073512	0.994498908	0.005501092	0
Bear_24_089	3.49954E-07	0.990780796	0.990781146	0.009218854	0
Bear_24_090	9.03351E-05	0.995689646	0.995779981	0.004220019	0
Bear_24_091	0.000187729	0.997656562	0.997844291	0.002155709	0
Bear_24_092	0.000990235	0.996135668	0.997125902	0.002874098	0
Bear_24_093	0.000562821	0.995894071	0.996456892	0.003543108	0
Bear_24_094	0	1	1	0	0
Bear_24_095	6.09391E-05	0.999761167	0.999822106	0.000177894	0
Bear_24_096	0.00060345	0.997796818	0.998400268	0.001599732	0
Bear_24_097	7.30499E-08	0.998444035	0.998444108	0.001555892	0
Bear_24_098	6.61585E-05	0.99492258	0.994988738	0.005011262	0
Bear_24_100	0	1	1	0	0
Bear_24_101	0.000644456	0.998107238	0.998751694	0.001248306	0
